fips,county,state,lat,long,date,cases,state_code,deaths
1001,Autauga,Alabama,32.53952745,-86.64408227,3/31/2020,8,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/1/2020,10,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/2/2020,12,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/3/2020,12,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/4/2020,12,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/5/2020,12,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/6/2020,12,AL,0
1001,Autauga,Alabama,32.53952745,-86.64408227,4/7/2020,12,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/8/2020,12,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/9/2020,17,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/10/2020,18,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/11/2020,19,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/12/2020,19,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/13/2020,19,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/14/2020,23,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/15/2020,24,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/16/2020,24,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/17/2020,24,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/18/2020,25,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/19/2020,26,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/20/2020,28,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/21/2020,30,AL,1
1001,Autauga,Alabama,32.53952745,-86.64408227,4/22/2020,32,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/23/2020,33,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/24/2020,36,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/25/2020,36,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/26/2020,36,AL,2
1001,Autauga,Alabama,32.53952745,-86.64408227,4/27/2020,37,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,4/28/2020,39,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,4/29/2020,41,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,4/30/2020,42,AL,4
